"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
Togo,26372,15,243,0,25937,0,192,0,3082.0,28.0,589871,68925,8558107,Africa,1.8,0.0,22.4
Tanzania,26309,0,734,0,0,0,0,7,423.0,12.0,0,0,62182693,Africa,0.0,0.0,0.0
Haiti,25744,0,758,0,22028,0,2958,0,2219.0,65.0,132422,11413,11602925,North America,0.0,0.0,254.9
Benin,24897,0,161,0,24546,0,190,5,1979.0,13.0,604310,48036,12580279,Africa,0.0,0.0,15.1
Seychelles,23806,0,129,0,23294,0,383,0,239919.0,1300.0,0,0,99225,Africa,0.0,0.0,3859.9
Somalia,23074,23,1333,2,12817,492,8924,0,1396.0,81.0,262138,15857,16531357,Africa,1.4,0.1,539.8
Bahamas,22881,22,708,3,21656,7,517,4,57394.0,1776.0,172649,433071,398662,North America,55.2,7.5,1296.8
Mauritius,22461,68,680,28,20781,90,1000,0,17619.0,533.0,358675,281355,1274813,Africa,53.3,22.0,784.4
Lesotho,22448,0,664,0,13849,0,7935,0,10360.0,306.0,269476,124369,2166741,Africa,0.0,0.0,3662.2
Mayotte,21088,45,185,0,2964,0,17939,0,74703.0,655.0,176919,626723,282292,Africa,159.4,0.0,63547.7
Burundi,20610,87,38,0,773,0,19799,0,1662.0,3.0,345742,27882,12400342,Africa,7.0,0.0,1596.6
Channel Islands,20327,168,107,0,18136,226,2084,0,115380.0,607.0,1092362,6200472,176174,Europe,953.6,0.0,11829.2
Timor-Leste,19829,0,122,0,19702,0,5,0,14638.0,90.0,211166,155886,1354621,Asia,0.0,0.0,3.7
Andorra,19440,168,133,0,16995,116,2312,4,251023.0,1717.0,204343,2638625,77443,Europe,2169.3,0.0,29854.2
Iceland,19159,107,35,0,17751,137,1373,5,55624.0,102.0,1281041,3719232,344437,Europe,310.7,0.0,3986.2
Congo,19066,0,359,0,12421,0,6286,0,3337.0,63.0,188207,32940,5713630,Africa,0.0,0.0,1100.2
Mali,18404,75,623,1,15454,39,2327,0,873.0,30.0,503761,23886,21090186,Africa,3.6,0.0,110.3
Curaçao,17560,20,182,2,17246,8,132,3,106385.0,1103.0,349429,2116969,165061,North America,121.2,12.1,799.7
Nicaragua,17328,0,210,0,4225,0,12893,0,2572.0,31.0,0,0,6738184,North America,0.0,0.0,1913.4
Tajikistan,17095,0,124,0,16966,0,5,0,1736.0,13.0,0,0,9846137,Asia,0.0,0.0,0.5
Taiwan,16721,16,848,0,15672,4,201,0,700.0,36.0,8654769,362443,23878972,Asia,0.7,0.0,8.4
Aruba,16549,18,177,1,16173,20,199,10,154059.0,1648.0,177885,1655977,107420,North America,167.6,9.3,1852.5
Burkina Faso,16334,0,290,0,15604,0,440,0,752.0,13.0,234250,10781,21728224,Africa,0.0,0.0,20.3
Brunei ,15308,25,98,0,14923,38,287,0,34515.0,221.0,657619,1482727,443520,Asia,56.4,0.0,647.1
Equatorial Guinea,13612,13,175,0,13386,40,51,1,9264.0,119.0,263190,179128,1469283,Africa,8.8,0.0,34.7
Djibouti,13514,0,188,0,13298,2,28,0,13397.0,186.0,250201,248041,1008708,Africa,0.0,0.0,27.8
Saint Lucia,13086,19,283,0,12699,17,104,6,70797.0,1531.0,102297,553441,184838,North America,102.8,0.0,562.7
South Sudan,12873,31,133,0,12576,60,164,2,1131.0,12.0,274916,24152,11382933,Africa,2.7,0.0,14.4
New Zealand,12715,94,44,0,6043,24,6628,40,2542.0,9.0,5171899,1033946,5002100,Australia/Oceania,18.8,0.0,1325.0
Hong Kong,12483,4,213,0,12159,3,111,0,1646.0,28.0,28539548,3762779,7584700,Asia,0.5,0.0,14.6
Isle of Man,12441,95,67,0,11478,134,896,1,145200.0,782.0,133676,1560141,85682,Europe,1108.8,0.0,10457.3
